ሰላም ለኪ	nagaan isiniif haa ta'u
ወተንሥአ እምኀበ ይዴረሩ ወአንበረ አልባሲሁ ወነሥአ መክፌ ዘለንጽ ወቀነተ ሐቌሁ	kanaafis irbaata irraa ka'ee wayyaa isaa of irraa fuudhee kaa'ee erbee tokkos fuudhee mudhiitti suuqate
ወእምዝ ፈነዎ መልአክ ለውእቱ ወልድ ወይቤሎ ከመ ኢይንግር ወኢለመኑሂ እምዘነገሮ	angafichi kumaa dubbii kana akka anatti himte nama tokkotti illee hin himin jedhee abboomee dargaggeessicha gad dhiise
ሰአሊተ ምሕረት ለዉሉደ ሰብእ ሰአሊ ለነ ኀበ ክርስቶስ ወልድኪ ይሥረይ ኃጢአተነ	dhala namaafis dhiifama kan kadhattudha cubbuu keenya akka nuu dhiisuuf gara kiristoos ilma keetti nuuf kadhadhu
ወተንሥአ አብርሃም በጽባሕ ወረሐነ አድጎ ወነሥአ ክልኤተ ደቆ ወይስሐቅሃኒ ወልዶ	abrahaamis ganama barii ka'ee qoraan qalmi ittiin gubamu falaxee harree isaas fe'ee dargaggoota isaa keessaa lama yisihaqin ilma isaas fudhatee lafa waaqayyo isatti hime dhaquudhaaf karaa irra bu'e
ወትዕግሥትሰ ግብር ፍጹም ባቲ ከመ ትኩኑ ፍጹማነ ወጥዑያነ እንዘ አልቦ ዘተኀጥኡ	isin warra fiixaan ba'an warra mudaa hir'inas hin qabne akka taataniif obsaan danda'uun kun hojii isaa fiixaan haa baasu
ወባሕቱ እብለክን ጢሮስ ወሲዶና ይረክባ ሣኅተ አመ ዕለተ ደይን ፈድፋደ እምኔክን	egaa ani isinittan hima guyyaa sanatti isin irra kan caalu xiiroosii fi sidooniif firdiin in salphata
ወአውሥአ እግዚእ ኢየሱስ ወይቤሎ አንተ ሊቆሙ ለእስራኤል ወዘንተ ነገረ ኢተአምር	iyyasuusdeebiseefii ati barsiisaa israa'el kan taate kana hin beektuu
ወትትአመን በርእስከ ከመ አንተ መርሖሙ ለዕዉራን ወብርሃኖሙ ለእለ ውስተ ጽልመት	jaamotaaf karaa argisiisaa warra dukkana keessa jiraniif ibsaa akka taate of amanatta
ወንሕንሰ አመነ ወአእመርነ ከመ አንተ ውእቱ ክርስቶስ ወልዱ ለእግዚአብሔር ሕያው	nuyi isa tokkicha qulqulluu waaqayyoo akka ati taate amanneerra beekneerras jedhan
ይፀርፉ ላዕሌነ ወናስተበቍዖሙ ወከመ ኳሄላ ኮነ ውስተ ዓለም ወምኑናነ በኀበ ኵሉ	yeroo nu arrabsanis deebii gaarii in deebifna nuyi kosii biyya lafaa taaneerra ammas nuyi saphaphuu lafaa ti
ወይቤሎ ፃእ እምብሔርከ ወተፈለጥ እምአዝማዲከ ወነዓ ውስተ ብሔር ዘአነ አርእየከ	biyya kee keessaa lammii kee keessaas ba'iitii gara biyya ani si argisiisuu dhaqi ittiin jedhe
ወቢጾሙሰ ፈነውዎሙ በሌሊት ለጳውሎስ ወለሲላስ ውስተ ቤርያ ወቦኡ ምኵራበ አይሁድ	halkanuma sana obboloonni phaawulosii fi siilaasin gara mandara beriyaatti ergan akkuma achi ga'aniinis gara mana sagadaa warra yihudootaa dhaqan
ወእግዚአብሔር አንሥኦ እምዉታን ፈቲሖ ማእሰሪሁ ለሞት እስመ ኢይክል እኂዞቶ ሞት	waaqayyo garuu hidhaa du'aattii hiike inni harka du'aa jalatti qabamee turuu waan hin dandeenyeef du'aa isa kaase
ወአዕረጎሙ ውስተ ቤቱ ወሠርዐ ማእደ ወተፈሥሐ ውእቱ ወኵሉ ቤቱ በአሚነ እግዚእነ	phaawulosii fi siilaasin mana isaatti geessee nyaata isaaniif dhi'eessisiise inni nama isaa wajjin waaqayyotti waan amaneef guddaa in gammade
ወዝ ኵሉ ዘኮነ ከመ ይትፈጸም ዘተብህለ እምኀበ እግዚአብሔር በነቢይ እንዘ ይብል	kun hundinuu inni waaqayyo gooftaan afaan raajichaatiin dubbate akka raawwatamuuf ta'e
ለዘፈቀደ ይምሕር ወለዘፈቀደ ያዐፅብ ለዘሂ መሐረ ይምሕሮ ወለዘሂ ተሣሃለ ይሣሃሎ	nama jaallate ni araarama nama jaallate ni dhiphisa nama jaallate ni araarama nama dhiifama godheef ni araarama
ወበእንተ ዝንቱ ኢይትመካሕ እንከ አሐዱሂ እምዕጓለ እመሕያው እስመ ኵሉ ዘዚኣክሙ	kanaafis homtinuu waan namoonni gochuu danda'aniin of hin jajin egaa waan hundinuu kan keessan
ወፈለግ ሣልስ ጤግሮስ ውእቱ ዘየሐውር ላዕለ ፋርስ ወፈለግ ራብዕ ውእቱ ኤፍራጥስ	maqaan laga isa sadaffaas xegros inni immoo fuullee mandara asor gara ba'abiiftuutiin in yaa'a lagni inni afuraffaan immoo efraaxiis jedhama
ወርእየቶ ለጴጥሮስ ይስሕን ወነጸረቶ ወትቤሎ አንተሂ ምስለ ኢየሱስ ገሊላዊ ሀሎከ	isheen utuu phexros ibidda qaqqaammatuu argitee hubattee isa ilaaltee atis immoo iyyasuusnamicha biyya naazireet sanaa wajjin turte jette
ወአንከሩ አይሁድ ምህሮቶ እንዘ ይብሉ እፎ የአምር ዝንቱ መጽሐፈ ዘኢመሀሮ መኑሂ	yihudoonni warri yesusiin morman inni kun barumsa dheeraa utuu hin qabaatin attamitti macaafota beeke jedhanii dinqifatan
ወተፈኒዎሙ እምኀበ መንፈስ ቅዱስ ወረዱ ሴሌውቅያ ወእምህየ ነገዱ ቆጵሮስ በሐመር	baarnaabaasii fi saa'ol hafuura qulqulluudhaan ergamanii mandara seluuqiyaatti gad bu'an achiis markabaan gara qophros biyya bishaan keessaa dhaqan
እንተ ይእቲ ቤተልሔም ዘኀረያ አማኑኤል ይትወለድ ውስቴታ በሥጋ ለመድኃኒተ ዚአነ	inni amaanu'eel fooniin dhalatee nu fayyisuuf filate isa kana
ወዘሂ ተከለ ወዘሂ ሰቀየ አሐዱ እሙንቱ ወኵሎሙ ዐስቦሙ ይነሥኡ በአምጣነ ጻማሆሙ	inni dhaabe isa bishaan obaasee wajjin tokko adduma addaanis akka dadhabbii isaatti miindaa ofii isaatii in fudhata
ከመ ኵልነ ኅቡረ በአሐዱ አፍ ንሰብሖ ለእግዚአብሔር በኢየሱስ ክርስቶስ እግዚእነ	yaada tokkos qabaattanii sagalee tokkichaan waaqayyoon abbaa gooftaa keenyaa yesus kristos akka galateeffattaniif isin haa gargaaru
በምንትኑ እንከ ይትሜክሑ ወበአይኑ ሕግ ይገብሩ አልቦ ባዕድ ሕግ ዘእንበለ አሚን	egaa maaliin of jajna ree waan ittiin of jajnu tokko illee hin qabnu seera maaliitiin dhabna akka abboommii seeraatti hojjechuudhaanii waawuu akka abboommii amantiitti jiraachuudhaan malee
ወመጠዋ እዴሁ ወአንሥኣ ወጸውዖሙ ለቅዱሳንሂ ወለዕቤራትሂ ወአወፈያ ኪያሃ ሕያውታ	phexros immoo harka isaa itti hiixatee harka ishee qabee ol ishee kaase kana booddees amantoota haadhotii hiyyeessaas waamee fayyaa ishee isaan gidduu dhaabachiise
ወግዕዘ አብራም ኅበ ዕፅ እንተ ውስተ ኬብሮን ወነደቀ በህየ ምሥዋዐ ለእግዚአብሔ	abraamis dunkaana isaa buqqifatee gara mukkeetii qilxuu mamree warra mandara kebroonitti dhi'oo bira dhufee taa'e achittis waaqayyoof iddoo aarsaa ijaare
ወከልሐ ሎቱ ጳውሎስ ወይቤሎ ኢትግበር እኩየ ዲበ ነፍስከ እስመ ሀሎነ ኵልነ ዝየ	phaawulos garuu sagalee guddaadhaan waa of hin godhin nuyi hundumti keenya as jirra jedhee itti iyye
ወለእስራኤልሰ ይቤሎሙ ኵሎ ዕለተ አነሥእ እደውየ ኀበ ሕዝብ ዐላውያን ወከሓድያን	israa'el irratti immoo harka koo guyyaa guutuu gara saba abboomamuu didee anaan mormutti bal'iseen jira jedhee dubbateera in jedha
ኮነ ወልደ እጓለ እምሕያው አምላክ ዘበአማን መጽአ ወአድኃነነ ሰአሊ ለነ ቅድስት	namni illee waaqummaan isaa hin jijjiiramne dhuguma waaqayyo waan ta'eef inni dhufee nu fayyise yaa qulqulleettii nuuf kadhadhu
እስመ ፈድፈዶ እምአርብዓ ዓመት ለውእቱ ብእሲ ዘበላዕሌሁ ኮነ ዝ ተኣምረ ሕይወት	namichi inni dinqiin fayyinaa godhameef sun immoo nama waggaa afurtama gara irraa ture
ወበእንተዝ ተማዕዑ ወተፋለጡ ዘዘዚኣሆሙ በርናባስ ነሥኦ ለማርቆስ ወነገደ ቆጵሮስ	kanaafis hamma isaan gargar adeemanitti isaan lachuu gidduutti waliin morkiin ka'e baarnaabaas maarqosin of duukaa fudhatee markabaan qophros dhaqe
ወአውሥአ እግዚእ ኢየሱስ ወይቤሎሙ ሕሙማን ይፈቅድዎ ለዐቃቤ ሥራይ ወአኮ ጥዑያን	iyyasuusdeebisee namoonni fayyaan ogeessa qorichaa hin barbaadan dhukkubsatootatu barbaada malee
ወይቤሎሙ እግዚእ ኢየሱስ ንዑ ትልዉኒ ድኅሬየ ወእሬስየክሙ ትኩኑ መሠግራነ ሰብእ	yesusis na duukaa bu'aa anis nama kan walitti qabdan isin nan godhadha isaaniin jedhe
ወዛቲ ይእቲ ትእዛዘ እንቲኣየ ከመ ትትፋቀሩ በበይናቲክሙ በከመ አነ አፍቀርኩክሙ	abboommiin koo isa kana ani akkan isin jaalladhe isinis wal jaalladhaa
ወጽሑፍ ላዕለ ልብሱ ወውስተ ገቦሁ ስም ዘይብል ንጉሠ ነገሥት ወእግዚአ አጋእዝት	uffata isaa irratti gudeeda isaa irrattis maqaan mootii moototaa gooftaa gooftotaas jedhu caafamee jira
ዜነውኩ ጽድቀ በማኅበር ዓቢይናሁ ኢከላእኩ ከናፍርየእግዚኦ ለሊከ ታአምር ጽድቅየ	ani waldaa guddicha keessatti waa'ee dhugaa argatanii furamuu misraachoo himeera yaa waaqayyo akkuma ati beektu kunoo ani afaan koo kana labsuuttii hin dhowwine
አምላከ አማልክት እግዚአብሔር ነበበ ወጸውዓ ለምድርእምሥራቀ ፀሓይ እስከነ ዐረብ	waaqayyo gooftaan inni danda'aan in dubbata ba'abiiftuutii jalqabee hamma lixa isheettis biyya lafaa in waama
ወይትዌከሉ ብከ ኵሎሙ እለ ያፈቅሩ ስመከ እስመ ኢተኀድጎሙ ለእለ የኀሡከ እግዚኦ	yaa waaqayyo warri maqaa kee beekan kooluu sitti in galu ati warra si barbaadan hin ganne'o
መሥዋዕተ ወቍርባነ ኢፈቀድከሥጋሰ አንጽሕ ሊተመሥዋዕተ ዘበእንተ ኃጢአት ኢሠመርከ	ati qalmaa fi kennaa midhaaniitti hin gammanne qalma gubamuu fi aarsaa cubbuus ati hin barbaanne anaaf garuu gurra banamaa in kennite
ወእመሰ ያርስሐስሐነ ልብነ እምአበሳነ የአብዮ እግዚአብሔር ለልብነ ወየአምር ኵሎ	garaan keenya yeroo nutti faradutti immoo waaqayyo garaa keenya irra caalee waan hundumaa akka hubatu in beekna
አቀምዎ ውስተ ዐውድ ለዘሎቱ ይቀውሙ ሊቃነ መላእክት በፍርሃት ወበርዓድ አርስሕዎ	ergamoota gurguddoo sodaa fi raafama fuuldura isaa dhaabbatan ummata duratti isa dhaaban
ወኀሊፎ መልአክ ዘተናገሮ ጸውዐ ክልኤተ እምወዓልያኒሁ ወአሐደ ሐራ ኄረ እምፀማዱ	ergamichi isatti dubbatee erga adeemee booddee hojjetoota mana isaa keessaa nama lama warra loltuu isaaf amanaman keessaa immoo nama waaqayyoon sodaatu tokko ofitti waamee
ወኢተአክል ኵላ ምድር ዘዕንበለ መጠነ ምክያደ እግር ወይጸዐቅ ከመ ጽፍቀተ ሮማን	daandii miilaa malee lafti guutuun gahaa miti akkuma roomaatiin ni dhiphatan
እንዘ ይጼእልዎ ኢጸአለ ወእንዘ ያሐምምዎ ኢተቀየመ አላ አግብአ ለዘይኴንን ጽድቀ	inni yommuu arrabsame deebisee hin arrabsine yommuu dhiphates waaqayyo isa firdii qajeelaa faradutti kennate malee warra isa dhiphisan hin doorsifne
ወባሕቱ ይቀልል ሰማይ ወምድር ይኅልፍ እምትደቅ አሐቲ ቃል እምኦሪት ወእምነቢያት	garuu seerichi kan ittiin caafame keessaa gar tokkoon fidalaa illee hir'achuu irra waaqnii fi lafti ija duraa baduutu salphata
ወለኵሉ ዘኢይትረከብ ጽሑፈ ውስተ መጽሐፈ ሕይወት ይወድይዎ ውስተ ገሃነም ዘእሳት	namni maqaan isaa macaafa isa warri jireenya argachuuf jiran keessatti caafaman keessatti hin argaminis kuufama ibiddaatti gad in darbatame
አልቦ ዘይትኀብኦ ወአልቦ ዘይሤወሮ ወአልቦ ዘይትከበት እምኔሁ ኵሉ ክሡት በኀቤሁ	kan dhokatu hin jiru kan dhokate hin jiru kan isa jalaa dhokatus hin jiru wanti hundinuu isatti bu'eera
ወእፎኑ እንከ ዘኢትሜህር ርእሰከ ዘለባዕድ ትሜህር ኢትስርቁ ትብል ወለሊከ ትሰርቅ	yoo akkas ta'e immoo ati warra kan biraa kan barsiiftu ofii kee immoo hin barsiiftuu hin hatin jettee utuma lallabduu ofii keetii immoo in hatta mitii
ቦኑ በአጽምዖ መጻሕፍት ይጸድቁ በቅድመ እግዚአብሔር አኮኑ ዳእሙ በገቢሮቱ ይጸድቁ	warri seera dhaga'an waaqayyo duratti qajeelota hin ta'an waan seerichi abboomu warri godhan garuu qajeelota in ta'u
ወይቤሎ እግዚአብሔር ለሙሴ ለዝክቱ ዘአበሰ በቅድሜየ እደመስሶ እምውስተ መጽሐፍየ	waaqayyos museedhaan jedhe kitaaba koo keessaa isa na balleesse nan haqa
ወዐቀቡ ቃሎ ወተኃሠሡ በበይናቲሆሙ እንዘ ይብሉ ምንት ውእቱ ተንሥኦ እምነ ምውታን	isaan immoo dubbii isaa fudhatanii warra du'an keessaa ka'uun maal inni jedhanii wal gaggaafatan
ወባሕቱ ይእተ አሚረ ምስለ ዝ ኵሉ ሕማም ፀሓይኒ ይጸልም ወወርኅኒ ኢይሁብ ብርሃኖ	iyyasuusitti dabalee guyyootuma sanatti rakkina kana booddee immoo biiftuun in dukkanoofti jiinis ifa ishee hin laattu
እስመ ኵሉ እምኔሁ ወኵሉ በእንቲኣሁ ወኵሉ ቦቱ ወሎቱ ስብሐት ለዓለመ ዓለም አሜን	wanta hundumaa waaqayyotu uume wanti hundumtuu isaan in jiraata bara baraan isaaf galanni haa ta'u ameen
ወባረኮ ለአብራም ወይቤሎ ቡሩኩ አብራም ለእግዚአብሔር ልዑል ዘፈጠረ ሰማየ ወምድረ	isa eebbisees waaqayyo inni hundumaa gara irraa jiru inni samii fi lafa uume abraamin haa eebbisu
ወዘሰ ፀረፈ ዲበ መንፈስ ቅዱስ ኢይትኀደግ ሎቱ ለዓለም ወይትኴነን በደይን ለዝሉፉ	eenyu illee hafuura qulqulluudhaan mormee isa irratti yoo dubbate garuu cubbuu bara baraatiin yakkaa ta'a malee bara baraan dhiifamuu hin argatu isaaniin jedhe
ወነሥእዎ ለሎጥሂ ወልደ እኁሁ ለአብራም ወንዋያቲሁ አእተዉ ወውእቱ ይነብር በሰዶም	loox ilma obboleessa abraam isa sodoom keessa jiraachaa tures qabeenya isaa wajjin fudhatanii adeeman
ለእለ ይነብሩ ውስተ ጽልመት ወጽላሎተ ሞት ከመ ያርትዕ እገሪነ ውስተ ፍኖተ ሰላም	warra dukkanaa fi gaaddisa du'aa keessatti argamanitti mul'achuudhaaf miilla keenyas daandii nagaa irra geggeessuudhaaf jedhe
በሣህሉ ወበምሕረቱ ለአምላክነ ለዘሐወጸነ እምአርያም ወሠረቀ ከመ ያርእዮሙ ብርሃኖ	waaqayyo keenya araara isaa isa oo'aan guuteen barii fayyinaa nuuf bariisisa
ወአንትሙሰ ክሕድክምዎ ለቅዱስ ወለጻድቅ ወሰአልክሙ ብእሴ ቀታሌ ነፍስ ያሕዩ ለክሙ	yesus qulqulluu fi qajeelaa ture isin garuu isa gantanii nama gumaa akka isiniif hiikuuf philaaxosin kadhattan
አማን እብለክሙ በእንተ ክርስቶስ ወኢይሔይሱ ወስምዕየ መንፈስ ቅዱስ ዘውስተ ልብየ	ani kristosiin dhugaadhuman dubbadha ani hin sobu yaadni garaa koos hafuura qulqulluudhaan dhugaa anaaf ba'a
ወወፂኦ እምኵራብ ይቤሎ አሐዱ እምአርዳኢሁ ሊቅ ርኢ ምንተ ይመስል ንድቁ ወእበኒሁ	akkuma iyyasuusmana qulqullummaa keessaa ba'een bartoota isaa keessaa inni tokko barsiisaa mee dhagaa gurguddaa kana ijaarsa babba'eessa kanas ilaali ittiin jedhe
እስመ ውእቱ እብን ዘመነንክምዎ አንትሙ ነደቀት ወውእቱ ኮነ ውስተ ርእሰ ማእዘንት	inni kun dhagicha isa isin warri ijaartuun tuffattan inni garuu dhagaa mataa golee qajeelchu ta'e
ምንተ እንከ ንብል በእንተ አብርሃም አቡሆሙ ለቀደምት ረከበኑ ዘንተ በምግባረ ሥጋ	kana irratti waa'ee abrahaam abbaa sanyii keenyaa maal jenna ree waaqayyo duratti maal argate
ወለኬሬዎስ እለ በአድባረ ሴይር እስከ አድባረ ጠራሜዎስ ወፋራን እንተ ውስተ ሐቅል	warra hooris roga tulluu se'iir irraa kaasanii hamma elphaaraan isa daarii lafa onaatti duukaa bu'anii in rukutan
ወገቢኦ ካዕበ ረከቦሙ እንዘ ይነውሙ እስመ ከብዳ አዕይንቲሆሙ ወኢየአምሩ ዘይነብቡ	deebi'ee dhufees utuu isaan rafanii arge iji isaanii baay'ee itti ulfaatee ture maal akka isaaf deebisanis hin beekne
ወዝንቱ ሣልሱ እንዘ ያስተርእዮሙ እግዚእ ኢየሱስ ለአርዳኢሁ ተንሢኦ እምነ ምዉታን	iyyasuusdu'aa erga kaafamee kanaan si'a sadaffaa bartoota isaatti of mul'isuu isaa ti
ይትባረክ እግዚአብሔር አምላከ እስራኤል ዘተሣሀለነ ወገብረ መድኀኒተ ለሕዝበ ዚኣሁ	waaqayyo gooftaan israa'el kan galateeffamuu dha saba isaa furuudhaaf dhufe
ወትስፋሕ እዴከ ወትግበር ትእምርተ ወመንክረ በስመ ወልድከ ኢየሱስ ክርስቶስ ንጹሕ	maqaa yesus hojjetaa kee isa qulqulluutiin dhukkubsatoota fayyisuudhaaf milikkitaa fi dinqii garaa garaas gochuudhaaf harka kee diriirsi jedhan
ወዐርገ አብራም እምግብጽ ውእቱ ወብእሲቱ ወኵሉ ንዋዩ ወሎጥሂ ምስሌሁ ውስተ አዜብ	akkasitti abraam biyya gibxii keessaa ba'e inni haadha manaa isaa waan qabu hundumaas fudhatee biyya gara mirgaatti ol in ba'e looxis isaa wajjin ol in ba'e
ከማሁኬ ዮምኒ በዝ መዋዕል እምእለ ኮኑ ኅሬ በጸጋ እለ ተርፉ አምኑ በእግዚአብሔር	bara si'anaas immoo akkasuma hambaan warra waaqayyo ayyaana isaatiin fo'atee jiru
ወሶበ ሖሩ ኀበ እግዚእ ኢየሱስ ርእይዎ ወረከብዎ ከመ ሰለጠ መዊተ ወኢሰበሩ ቍይጾ	gara iyyasuusdhufanii kanaan dura du'uu isaa yommuu argan garuu miilla isaa hin cabsine
ምንተ እንከ የኀሥሥ እስራኤል ዘዘንተ ኢያድምዐ ወኅሬሰ አድምዐ ወእለሰ ተርፉ ዖሩ	egaa maal ta'inna laata ree warri israa'el waan barbaadan argachuu in dadhaban warri fo'aman argataniiru warri kaan garuu in hadoodchifaman
ሶበ ለእልክቱ እለ ፍጥረቶሙ ዘይት እሙንቱ ኢመሐኮሙ እግዚአብሔር ኪያከኑ ይምሕከከ	waaqayyo damoota warra mukichattii dhalatan hin qusanne erga ta'ee sis hin qusatu
ወገብሩ ደቂቀ ሌዊ በከመ ይቤሎሙ ሙሴ ወወድቀ እምውስተ ሕዝብ ይእተ አሚረ ብእሲ	ilmaan leewwii akkuma museen jedhe raawwatan guyyaa sanatti immoo namoonni saba sanaa ni duʼan
ወአስተዓፀውዎሙ ወበጽሐ ዕፃ ዲበ ማትያስ ወተኈለቈ ምስለ ዐሠርቱ ወአሐዱ ሐዋርያት	yommus isaan lamaaniif muka buufnaan maatiyaasiif ba'e inni kana irratti ergamoota kudha tokkon sanatti dabalame
ወወሀቦሙ ትእምርተ ዘያገብኦ ወይቤሎሙ ዘሰዐምክዎ ውእቱ አኀዝዎ ወአጽንዕዎ ወሰድዎ	inni dabarsee yesusin kennuuf ture sun milikkitaaf inni ani dhungadhu isa qabaatii eeggachaa fuudhaa sokkaa jaraan jedhee ture
ወበልዎ ለበዓለ ቤት ይቤለከ ሊቅ አይቴኑ ጽርሕ ኀበ እበልዕ ፍሥሐ ምስለ አርዳእየ	manuma namichi itti galuttis abbaa manaatiin manni keessummaa kan ani bartoota koo wajjin keessatti irbaata faasiikaa nyaadhu eessa siin jedha barsiisaan ittiin jedhaa
ወለእለሰ ከሓድያን ወዓላውያነ ጽድቅ ወመፍቀርያነ ዐመፃ ፍዳሆሙ መቅሠፍት ወመንሱት	namoota warra ofittoo warra dhugaadhaaf abboomamuu didanii seera waaqayyoo malee jiraachuudhaaf abboomamanitti garuu in dheekkama isaan in ifatas
እለ ተለዋሁ እምገሊላ ወተልእካሁ ወባእዳትሂ ብዙኃት እለ ዐርጋ ምስሌሁ ኢየሩሳሌም	isaan warra yommuu inni galiilaa ture isa duukaa bu'anii isaaf hojjetan kan biraa dubartoonni baay'eenis immoo isaa wajjin yerusaalemitti kan ol ba'an achitti argamaniiru
ወእንዘ ይመስሕ ምስሌሆሙ አዘዞሙ ኢይፃኡ እምኢየሩሳሌም አላ ይጽንሑ ተስፋሁ ለአብ	isaanii wajjin utuu jiruus abdii abbaan koo isiniif kenne isa ani isinitti hime sana eeggadhaa malee yerusaalemii hin ba'inaa jedhee isaan abboome
እምአመ ተፈጥረ ዓለም ኢተሰምዐ ግሙራ ከመ ቦ ዘዕዉሩ ተወልደ ወተከሥታ አዕይንቲሁ	durii durii jalqabee namni ija nama jaamaa ta'ee dhalatee akka bane dhaga'amee hin beeku
ፈሪሀ እግዚአብሔር ንጹሕ ወየሐዩ ለዓለም ፍትሑ ለእግዚአብሔር ጽድቅ ወርትዕ ኅቡረ	waaqayyoon sodaachuun yaada qullaa'aa dha bara baraan jabaatee in dhaabata akka namni ittiin geggeeffamuuf wanti waaqayyo kennu dhugaa dha guutummaan isaas qajeelaa dha
እምአጽናፈ ምድር ጸራኅኩ ኀቤከ ሶበ ቀብጸኒ ልብየወእምእብን አልዐልከኒ ወመራሕከኒ	erga garaan koo citee andaara lafaatii sin waammadhakattaa ol ka'aa ani bira ga'uu hin dandeenyeen na ga'i
ወእለሰ ይደልዎሙ ይርከብዎ ለዝክቱ ዓለም አመ የሐይዉ ሙታን ኢያወስቡ ወኢይትዋሰቡ	bara biyya isa dhufu keessa jiraachuudhaaf du'aa ka'uudhaafis warri ayyaana argatan garuu hin fuudhan hin heerumanis
ወይእዜኒ ተፈሥሑ አኀውየ እስመ እትአመን በእግዚአብሔር ከመ ይከውን በከመ ይቤለኒ	kanaafis jabaadhaa yaa jarana akkuma ergamichaan anatti himame akka inni ta'uuf waaqayyotti nan amanadha
ወአውሥኡ ወዓልያኒሆሙ ወይቤልዎሙ ግሙራ ኢተናገረ ሰብእ ዘከመ ተናገረ ውእቱ ብእሲ	naa'onnis akka namicha kanaatti takkaa namni dubbatee hin beeku jedhanii deebisaniif
ወነበረ ጳውሎስ ኀበ መካን ዘተዐሰበ በንዋዩ ክልኤተ ዓመተ ወይትቄበል ኵሎ ዘአተወ	akkasitti phaawulos waggaa lama guutuu mana ofii isaatii dugda bitate keessa taa'ee warra gara isaa dhufan hundumaa in simata ture
ተፈሥሒ ኦ ድንግል ንጽሕት እንተ አልባቲ ርኲስ ዘመጽአ ቃለ አብ ወተሰብአ እምኔሃ	yaa durba qulqulluu kan dubbiin abbaa itti dhufee fi qabeenya hin qabne gammadi
ወእመሰ ተቃንኦ መሪር ወካሕድ ብክሙ ውስተ ልብክሙ ኢትትመክሑ ወኢተሐስውዋ ለጽድቅ	garaa keessan keessatti hinaaffaa hadhaa'aa ofittummaas yoo qabaattan garuu akka ogummaatti ittiin of hin jajinaa dhugaa irrattis soba hin dubbatinaa
ወቦአ ጳውሎስ ኀቤሆሙ በከመ ያለምድ ወነበረ ይትዋቀሦሙ ሠለስተ ሰናብተ እመጻሕፍት	akkuma amala isaas phaawulos mana sagadaa sanatti ol lixee sanbata sadiis dubbii macaafa qulqulluu isaaniin dudubbachaa ture
ደቂቅየ ኢያስሕቱክሙ ወኵሉ ዘይገብራ ለጽድቅ ጻድቅ ውእቱ በከመ ዝክቱ ጻድቅ ውእቱ	yaa ijoollee koo homtinuu karaa irraa isin hin kaachisin inni sun qajeelaa akka ta'e namni waan qajeelaa hojjetu qajeelaa dha
ወለካልኡኒ ዘይንእስ ይቤሎ ከማሁ ወአውሥአ ወይቤ እንብየ ወእምድኅረዝ ነስሐ ወሖረ	namichi ergasii ilma isaa isa kaan bira dhaqee isuma ilma isaa isa tokkotti dubbate itti hime inni immoo tole yaa abbayyee ko jedhe garuu hin dhaqne
ይዘርዎ ለጊሜ ከመ ሐመድ ወያወርድ በረደ ከመ ፍተታት ወያሕመለምል ሣዕረ ለዕንስሳ	dhoqqee akka asheetaatti facaasa qorra gadi buusa bineensotaaf marga hin tolchu
ወመኑ ጠቢብ እምኔክሙ ወምኩር ከመ ያርኢ ምግባሮ በየውሀት ወበጥበብ እምሥነ ግዕዙ	isin keessaa namni ogeessi hubataanis jiraa inni karaa garraamummaa ogummaa keessaa argamu sanaa adeemii isaa isa gaariidhaan hojii isaa isa gaarii haa mul'isu
ወቦ እለ ይቤሉ እምሰብአ ኢየሩሳሌም አኮኑ ዝንቱ ውእቱ ዘየኀሥሡ አይሁድ ይቅትልዎ	amma immoo warra yerusaalem keessaa jarri tokko inni kun isa isaan ajjeesuu barbaadan mitii
ወዘሂ ሰአልናሁ ንነሥእ እምኀቤሁ እስመ ትእዛዞ ነዐቅብ ወንገብር ዘይኤድሞ ቅድሜሁ	nuyi waanuma isa kadhannu isa biraa in fudhanna abboommota isaa in eegna waan isa gammachiisus in hojjenna
ወእመሰ ሰይጣን ለሰይጣን ያወፅኦ ተናፈቀኬ በበይናቲሁ እፎ እንከ ትቀውም መንግሥቱ	seexannis seexana yoo baase ofii isaatii gargar in caba egaa mootummaan isaa attamitti dhaabachuu danda'a ree
ከመ አማን ውእቱ መድኃኒነ ዘመጽአ ውስተ ዓለም በልብሰተ ሥጋ እንተ ነሥአ እምኔነ	foon nu keessaa ka'e kana uffatee gara biyya lafaa kan dhufe dhuguma fayyisaa keenya ta'uu isaa
ወይእዜኒ ኢዘተከለ ወኢዘሰቀየ አልቦ ዘበቍዐ ዘእንበለ ዳእሙ እግዚአብሔር ዘአልሀቀ	waaqayyo isa guddisu sana malee inni dhaabu inni bishaan obaasus homaa miti
ወየብሰ ከመ ገልዕ ኀይልየ ወጠግዐ ልሳንየ በጕርዔየ ወአውረድከኒ ውስተ መሬተ ሞት	qoonqoon koo gogee na awwaara'e arrabni koos laagaa kootti qabate atis biyyoo du'aa keessa na ciibsita
ወተጋዐዙ አይሁድ በበይናቲሆሙ እንዘ ይብሉ እፎ ይክል ዝንቱ የሀበነ ሥጋሁ ንብላዕ	kana irratti yihudoonni namichi kun attamitti foon isaa akka nyaannuuf nuuf kennuu danda'a jedhanii waliin morkatan
እስመ ሥጋየኒ መብልዐ ጽድቅ ዘበአማን ውእቱ ወደምየኒ ስቴ ሕይወት ዘበአማን ውእቱ	foon koo dhuguma nyaata dhiigni koos dhuguma dhugaatii dha
